"Time (s)"	"Acceleration x (m/s^2)"	"Acceleration y (m/s^2)"	"Acceleration z (m/s^2)"	"Absolute acceleration (m/s^2)"
2.758150300E-2	-9.585571289E-2	9.644424438E0	4.687805176E-1	9.656286359E0
3.157930600E-2	-8.627319336E-2	9.649215698E0	5.358276367E-1	9.664466768E0
3.560762600E-2	-8.148193359E-2	9.651596069E0	6.124420166E-1	9.671351054E0
3.963594600E-2	-8.148193359E-2	9.644424438E0	6.890563965E-1	9.669351621E0
4.366426600E-2	-8.627319336E-2	9.644424438E0	7.536926270E-1	9.674214097E0
4.769258700E-2	-8.148193359E-2	9.646820068E0	8.015747070E-1	9.680407985E0
5.172090700E-2	-8.387756348E-2	9.646820068E0	8.255157471E-1	9.682440246E0
5.571871000E-2	-7.670593262E-2	9.649215698E0	8.494567871E-1	9.686837679E0
5.974703000E-2	-7.910156250E-2	9.644424438E0	8.710174561E-1	9.683999753E0
6.377535000E-2	-7.910156250E-2	9.651596069E0	8.877716064E-1	9.692662285E0
6.777315300E-2	-8.148193359E-2	9.656387329E0	9.165039062E-1	9.700125513E0
7.180147300E-2	-8.387756348E-2	9.653991699E0	9.428405762E-1	9.700285538E0
7.579927600E-2	-8.866882324E-2	9.649215698E0	9.835357666E-1	9.699616918E0
7.982759700E-2	-9.106445312E-2	9.646820068E0	1.029022217E0	9.701974896E0
8.385591700E-2	-8.866882324E-2	9.651596069E0	1.067337036E0	9.710838130E0
8.785372000E-2	-9.106445312E-2	9.656387329E0	1.110427856E0	9.720450556E0
9.188204000E-2	-9.106445312E-2	9.653991699E0	1.143951416E0	9.721958306E0
9.587984300E-2	-8.627319336E-2	9.658782959E0	1.165496826E0	9.729229885E0
9.987764500E-2	-7.670593262E-2	9.658782959E0	1.187042236E0	9.731754278E0
1.039059660E-1	-8.148193359E-2	9.653991699E0	1.199020386E0	9.728506819E0
1.079037680E-1	-8.866882324E-2	9.644424438E0	1.206207275E0	9.719965067E0
1.119320890E-1	-9.106445312E-2	9.639633179E0	1.215774536E0	9.716425695E0
1.159298910E-1	-9.106445312E-2	9.642028809E0	1.225357056E0	9.720005771E0
1.199582120E-1	-1.006469727E-1	9.646820068E0	1.232543945E0	9.725761246E0
1.239560140E-1	-9.346008301E-2	9.649215698E0	1.244506836E0	9.729588668E0
1.279538170E-1	-1.030426025E-1	9.656387329E0	1.249298096E0	9.737411348E0
1.319821380E-1	-1.030426025E-1	9.653991699E0	1.261260986E0	9.736578084E0
1.359799400E-1	-1.054382324E-1	9.658782959E0	1.266052246E0	9.741975865E0
1.399777430E-1	-1.197967529E-1	9.658782959E0	1.263656616E0	9.741830811E0
1.439755460E-1	-1.245880127E-1	9.656387329E0	1.261260986E0	9.739205188E0
1.480038660E-1	-1.293792725E-1	9.649215698E0	1.251693726E0	9.730921836E0
1.520016690E-1	-1.269836426E-1	9.656387329E0	1.246902466E0	9.737387065E0
1.559994720E-1	-1.293792725E-1	9.649215698E0	1.230148315E0	9.728173902E0
1.599972740E-1	-1.341552734E-1	9.649215698E0	1.210983276E0	9.725833729E0
1.640255950E-1	-1.365509033E-1	9.644424438E0	1.184646606E0	9.717867898E0
1.680233970E-1	-1.413421631E-1	9.642028809E0	1.165496826E0	9.713242507E0
1.720212000E-1	-1.485290527E-1	9.642028809E0	1.141555786E0	9.710506168E0
1.760190030E-1	-1.604919434E-1	9.644424438E0	1.115219116E0	9.710015144E0
1.800168060E-1	-1.604919434E-1	9.649215698E0	1.093673706E0	9.712324306E0
1.840146080E-1	-1.628875732E-1	9.642028809E0	1.072128296E0	9.702819744E0
1.880124110E-1	-1.628875732E-1	9.639633179E0	1.048187256E0	9.697822266E0
1.920102140E-1	-1.652832031E-1	9.632446289E0	1.017059326E0	9.687401598E0
1.960080160E-1	-1.652832031E-1	9.632446289E0	9.907226562E-1	9.684671984E0
