time, z
0.027582,0.468781
0.031579,0.535828
0.035608,0.612442
0.039636,0.689056
0.043664,0.753693
0.047693,0.801575
0.051721,0.825516
0.055719,0.849457
0.059747,0.871017
0.063775,0.887772
0.067773,0.916504
0.071801,0.942841
0.075799,0.983536
0.079828,1.029022
0.083856,1.067337
0.087854,1.110428
0.091882,1.143951
0.095880,1.165497
0.099878,1.187042
0.103906,1.199020
0.107904,1.206207
0.111932,1.215775
0.115930,1.225357
0.119958,1.232544
0.123956,1.244507
0.127954,1.249298
0.131982,1.261261
0.135980,1.266052
0.139978,1.263657
0.143976,1.261261
0.148004,1.251694
0.152002,1.246902
0.155999,1.230148
0.159997,1.210983
0.164026,1.184647
0.168023,1.165497
0.172021,1.141556
0.176019,1.115219
0.180017,1.093674
0.184015,1.072128
0.188012,1.048187
0.192010,1.017059
0.196008,0.990723
0.200006,0.952408
0.204004,0.914108
0.208001,0.873413
0.212030,0.825516
0.216028,0.789612
0.220025,0.751297
0.224023,0.722565
0.228021,0.684265
0.232019,0.641174
0.236017,0.598068
0.240014,0.547791
0.244012,0.509491
0.248010,0.473572
0.252008,0.420898
0.256036,0.377808
0.260034,0.339493
0.264032,0.303589
0.268030,0.260498
0.272027,0.214996
0.276025,0.176697
0.280023,0.138382
0.284021,0.090500
0.288019,0.049805
0.292016,0.006699
0.296014,-0.031601
0.300012,-0.072296
0.304010,-0.108215
0.308008,-0.151306
0.312005,-0.189621
0.316003,-0.227921
0.320001,-0.268631
0.323999,-0.309326
0.327997,-0.340454
0.331994,-0.376373
0.335992,-0.409882
0.339990,-0.443405
0.343988,-0.479324
0.347986,-0.512833
0.351983,-0.543961
0.355981,-0.575089
0.359979,-0.608612
0.363977,-0.637329
0.368005,-0.668457
0.372003,-0.704376
0.376001,-0.728317
0.379998,-0.754654
0.383996,-0.778595
0.387994,-0.804932
0.391992,-0.824081
0.395990,-0.848022
0.399988,-0.869568
0.403985,-0.888733
0.407983,-0.900696
0.411981,-0.924637
0.415979,-0.943787
0.419977,-0.953369
0.423974,-0.960556
0.428003,-0.970123
0.432000,-0.982101
0.435998,-0.994064
0.439996,-1.003647
0.443994,-1.008438
0.447992,-1.003647
0.451989,-1.006042
0.455987,-1.001251
0.459985,-1.001251
0.463983,-1.003647
0.467981,-1.001251
0.471978,-0.996460
0.475976,-0.994064
0.480005,-0.982101
0.484002,-0.972519
0.488000,-0.955765
0.491998,-0.936615
0.495996,-0.919846
0.499994,-0.898300
0.503991,-0.888733
0.507989,-0.864792
0.511987,-0.845627
0.515985,-0.826477
0.519983,-0.807327
0.523980,-0.780991
0.527978,-0.749863
0.531976,-0.725922
0.536004,-0.706772
0.540002,-0.675644
0.544000,-0.642120
0.547998,-0.618179
0.551996,-0.587051
0.555993,-0.558319
0.559991,-0.522415
0.563989,-0.488892
0.567987,-0.450592
0.571985,-0.419464
0.575982,-0.385941
0.579980,-0.347641
0.584009,-0.318909
0.588006,-0.285385
0.592004,-0.247086
0.596002,-0.211166
0.600000,-0.175247
0.603998,-0.129761
0.607995,-0.089066
0.611993,-0.055542
0.615991,-0.012451
0.619989,0.028259
0.623987,0.071350
0.627984,0.112045
0.631982,0.150360
0.636010,0.193451
0.640008,0.234161
0.644006,0.277252
0.648004,0.320343
0.652002,0.358658
0.655999,0.396957
0.659997,0.435272
0.663995,0.478363
0.667993,0.523849
0.671991,0.564560
0.675988,0.607651
0.679986,0.643570
0.684015,0.674683
0.688012,0.715393
0.692010,0.751297
0.696008,0.787216
0.700006,0.823135
0.704004,0.861435
0.708001,0.894958
0.711999,0.923691
0.715997,0.954803
0.719995,0.978745
0.723993,0.997910
0.727990,1.021851
0.731988,1.052979
0.736017,1.076920
0.740014,1.098465
0.744012,1.112823
0.748010,1.124802
0.752008,1.136765
0.756006,1.146347
0.760003,1.148743
0.764001,1.158310
0.767999,1.163101
0.771997,1.160706
0.775995,1.155930
0.779992,1.153534
0.784021,1.143951
0.788019,1.143951
0.792016,1.134369
0.796014,1.120010
0.800012,1.110428
0.804010,1.093674
0.808008,1.072128
0.812005,1.050583
0.816003,1.029022
0.820001,1.002686
